name,business_id,industry,toi_code,toi_description,nearest_station,distance_km,address,website,status,registered,lat,lon,found_website
Cinewhoop Oy,3318020-4,marketing,74200.0,Valokuvaustoiminta,Pasila,0.08,"Kasoorinkatu, 00520",,2,2022-10-12,60.1986848,24.933802,
Emerald Head Spa Oy,3438045-1,other,96210.0,Kampaamo- ja parturipalvelut,Pasila,0.08,"Hoyrykatu, 00520",www.emeraldheadspa.fi,2,2024-04-15,60.1986848,24.933802,www.emeraldheadspa.fi
Winme Oy,3182865-2,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Aleksis Kiven katu, 00520",,2,2021-01-20,60.1986848,24.933802,
UpCharge Oy,3228269-8,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Ratamestarinkatu, 00520",upcharge.fi,2,2021-08-16,60.1986848,24.933802,upcharge.fi
Hansa Tekniikka Oy,3228501-2,real_estate,68320.0,Muu kiinteistöalan toiminta palkkio- tai sopimusperusteisesti,Pasila,0.08,"Venttiilikuja, 00520",,2,2021-09-06,60.1986848,24.933802,
KIA Kodit Oy,3145220-2,construction,41100.0,Rakennuttaminen ja rakennushankkeiden kehittäminen,Pasila,0.08,"Veturitie, 00520",,2,2020-07-21,60.1986848,24.933802,https://www.kia.com/fi/
Offera Oy,3230846-4,other,97000.0,Kotitalouksien toiminta kotitaloustyöntekijöiden työnantajina,Pasila,0.08,"Opastinsilta, 00520",www.offera.fi,2,2021-08-27,60.1986848,24.933802,www.offera.fi
Bookea Finland Oy,3231580-8,it,58110.0,Kirjojen kustantaminen,Pasila,0.08,"Veturitie, 00520",,2,2021-09-10,60.1986848,24.933802,https://bookeagroup.com/
Scope Labs Oy,3142935-2,manufacturing,26400.0,Viihde-elektroniikan valmistus,Pasila,0.08,"Karjalankatu, 00520",www.scopelabs.eu,2,2020-06-29,60.1986848,24.933802,www.scopelabs.eu
TakeT Takeaway Tea Shop Tripla,3146723-6,retail,47299.0,Muu päivittäistavaroiden erikoisvähittäiskauppa,Pasila,0.08,"Veturitie, 00520",,2,2020-07-20,60.1986848,24.933802,https://take-t.fi/
Moder Oy,3141855-7,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Veturitallinkuja, 00520",www.moder.app,2,2020-07-01,60.1986848,24.933802,www.moder.app
Warung Bali Ni Made Oy,3232526-4,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Venttiilikuja, 00520",https://balirestaurant.net/,2,2021-09-08,60.1986848,24.933802,https://balirestaurant.net/
Opintovalmennus Tammiranta Oy,3233189-1,education,85690.0,Muualla luokittelematon koulutusta palveleva toiminta,Pasila,0.08,"Ratavartijankatu, 00520",,2,2021-09-07,60.1986848,24.933802,
Sakavi Oy,3141295-6,construction,41000.0,Talonrakentaminen,Pasila,0.08,"Kuortaneenkatu, 00520",,2,2020-06-26,60.1986848,24.933802,
TASECO OSK,3139959-5,other,69201.0,"Laskentatoimi, kirjanpito ja veroneuvonta",Pasila,0.08,"Ratapihantie, 00520",,2,2020-07-01,60.1986848,24.933802,https://taseco.yhdistysavain.fi/yhteystiedot/
Levant Group Oy,3233480-6,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Aleksis Kiven katu, 00520",www.levant.fi,2,2021-09-09,60.1986848,24.933802,www.levant.fi
Boost Ventures Oy,3234186-2,marketing,70100.0,Pääkonttorien toiminta,Pasila,0.08,"Kellosilta, 00520",,2,2021-09-22,60.1986848,24.933802,
Designchills Oy,3141539-9,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Kellosilta, 00520",,2,2020-06-29,60.1986848,24.933802,
A&S RAKENNUS Oy,3226292-9,construction,43410.0,Kattorakenteiden asennus ja kattaminen,Pasila,0.08,"Veturitie, 00520",,2,2021-08-13,60.1986848,24.933802,
ICSol Oy,3225584-1,it,62200.0,Laitteistokonsultointi ja käyttö- ja hallintapalvelut,Pasila,0.08,"Aleksis Kiven Katu, 00520",,2,2021-07-29,60.1986848,24.933802,
Chef Max Oy,3224883-6,retail,47110.0,"Erikoistumaton elintarvikkeiden, juomien tai tupakan vähittäiskauppa",Pasila,0.08,"Karjalankatu, 00520",,2,2021-09-06,60.1986848,24.933802,
Ruusu Beauty Oy,3215319-1,retail,47120.0,Muu erikoistumaton vähittäiskauppa,Pasila,0.08,"Opastinsilta, 00520",,2,2021-07-23,60.1986848,24.933802,
Seuraava siirto Oy,3215864-6,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Sahkottajankatu, 00520",,2,2021-06-08,60.1986848,24.933802,https://seuraavasiirto.fi/
Jalocode Oy,3215959-3,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Kasoorinkatu, 00520",www.jalocode.com,2,2021-06-08,60.1986848,24.933802,www.jalocode.com
Oy Isokissa Ltd,3150744-5,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Opastinsilta, 00520",www.Isokissa.com,2,2020-08-12,60.1986848,24.933802,www.Isokissa.com
Heimstaden Group Finland Oy,3218660-4,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2021-06-23,60.1986848,24.933802,
Heimstaden Finland Oy,3218661-2,other,81100.0,Kiinteistönhoito,Pasila,0.08,"Firdonkatu, 00520",,2,2021-06-23,60.1986848,24.933802,https://heimstaden.com/
Cibus MREC Oy,3219691-7,marketing,70100.0,Pääkonttorien toiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2021-10-31,60.1986848,24.933802,
Coobi Oy,3220945-8,it,62200.0,Laitteistokonsultointi ja käyttö- ja hallintapalvelut,Pasila,0.08,"Firdonkatu, 00520",,2,2021-07-02,60.1986848,24.933802,
Taaleri Vuokrakoti ARA III Oy,3149889-2,real_estate,68120.0,Rakennuttaminen ja rakennushankkeiden kehittäminen,Pasila,0.08,"Firdonkatu, 00520",,2,2020-08-14,60.1986848,24.933802,https://taaleri.com/fi/rahasto/vuokrakoti/
Ciao Korea Oy,3147277-2,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Firdonkatu, 00520",,2,2020-07-24,60.1986848,24.933802,
